07.06.2024                           Saída dinâmica de lista                                   1
------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------
|Reserva|Cen.|Dep.|Data base |TMv|Material|Texto breve material                    |UMB|   Qtd.|
|4379610|N190|USAD|03.06.2024|X41|41001486|MODEM VOIP EMTA WIFI 3.1 CG3000         |UN |    50 |
|4379610|N190|N190|03.06.2024|X41|41001573|DECODER CARDLESS 4K UHD S4KCW4S CABO IP |UN |    20 |
|4379613|N190|USAD|03.06.2024|X43|22026249|CTRL REMOTO DIG. DCR7121 PACE           |UN |   100 |
|4379613|N190|USAD|03.06.2024|X43|22058239|FONTE DE ENERGIA PA11807UD2             |UN |   100 |
|4379613|N190|N190|03.06.2024|X43|22058258|PILHA MANGANES AAA 1,5 V                |UN |   200 |
|4379613|N190|USAD|03.06.2024|X43|22058639|FONTE ENERGIA MSA C2500IC12.0 30W       |UN |   550 |
|4379614|N190|USAD|03.06.2024|X41|41000805|SMART CARD AVULSO SIM CARD              |UN |   100 |
|4379614|N190|USAD|03.06.2024|X41|41001048|DECODER HD HHDC2                        |UN |   100 |
|4379614|N190|USAD|03.06.2024|X41|41001095|EMTA WIFI 3.0 FST3486 16X4              |UN |   550 |
|4379617|N190|N190|03.06.2024|X43|22025072|FITA ISOLANTE 3M 33+                    |ROL|    10 |
|4379617|N190|N190|03.06.2024|X43|22025136|BUCHA ACABAMENTO CABO RG6-59 BRANCA     |UN |   250 |
|4379617|N190|N190|03.06.2024|X43|22025244|MARCADOR APTO NUM 2 TIPO HO85 AMARELO   |UN |   100 |
|4379617|N190|USAD|03.06.2024|X43|22025245|MARCADOR APTO NUM 4 TIPO HO85 AMARELO   |UN |   100 |
|4379617|N190|N190|03.06.2024|X43|22026219|CABO COAXIAL RG6 TRISH SEM MENSAG BRANCO|M  | 3.300 |
|4379617|N190|N190|03.06.2024|X43|22026223|CABO COAXIAL RG6 TRISH COM MENSAG PRETO |M  | 3.355 |
|4379617|N190|USAD|03.06.2024|X43|22026249|CTRL REMOTO DIG. DCR7121 PACE           |UN |   220 |
|4379617|N190|N190|03.06.2024|X43|22056332|FITA ISOLANTE AUTOFUSAO 3M SCOTCH23 10MT|UN |     4 |
|4379617|N190|N190|03.06.2024|X43|22056369|CABO UTP CAT5E ETHERNET NET             |M  |   600 |
|4379617|N190|N190|03.06.2024|X43|22057620|CONECTOR FO CAMPO FAST SC/APC           |UN |   300 |
|4379617|N190|N190|03.06.2024|X43|22057635|FIXADOR FIO PT RG6                      |UN |   200 |
|4379617|N190|N190|03.06.2024|X43|22057658|SUPORTE ROLDANA FO DROP SDA-1           |UN |    20 |
|4379617|N190|N190|03.06.2024|X43|22057659|ESTICADOR CUNHA PARA DROP OPTICO SRDO   |UN |   160 |
|4379617|N190|USAD|03.06.2024|X43|22058239|FONTE DE ENERGIA PA11807UD2             |UN |   220 |
|4379617|N190|N190|03.06.2024|X43|22058258|PILHA MANGANES AAA 1,5 V                |UN |   440 |
|4379617|N190|N190|03.06.2024|X43|22061736|CABO DROP 1FO LOW F FIG8 LOW CINZA      |M  | 6.000 |
|4379617|N190|N190|03.06.2024|X43|22061811|CONECTOR UTP RJ45 M CAT 5 24AWG         |UN |   100 |
|4379617|N190|N190|03.06.2024|X43|22062576|FONTE ALIM 12V 3A ADS 36FKJ 12 12036EPBR|UN |    20 |
|4379617|N190|N190|03.06.2024|X43|22065720|MARCADOR CASA PRETO NR 2                |UN |   100 |
|4379617|N190|USAD|03.06.2024|X43|22066258|FONTE DE ALIMENTACAO 12V ONT TCG2232 ADS|UN |    60 |
|4379619|N190|UDEI|03.06.2024|X41|41001530|DECODER 4K UHD IP S4KW3 LINUX VAS COM   |UN |   180 |
|4379619|N190|N190|03.06.2024|X41|41001573|DECODER CARDLESS 4K UHD S4KCW4S CABO IP |UN |    30 |
|4379621|N190|USAD|03.06.2024|X41|41001294|EMTA WIFI 3.0 TC7337NET 16X4            |UN |    40 |
|4379621|N190|UDEI|03.06.2024|X41|41001530|DECODER 4K UHD IP S4KW3 LINUX VAS COM   |UN |    20 |
|4379621|N190|USAD|03.06.2024|X41|41001535|TERMINAL GPON WIFI TCG2232              |UN |    50 |
|4379623|N190|USAD|03.06.2024|X41|41001294|EMTA WIFI 3.0 TC7337NET 16X4            |UN |   600 |
|4379623|N190|USAD|03.06.2024|X41|41001486|MODEM VOIP EMTA WIFI 3.1 CG3000         |UN |    50 |
|4379623|N190|N190|03.06.2024|X41|41001573|DECODER CARDLESS 4K UHD S4KCW4S CABO IP |UN |    20 |
|4379628|N190|USAD|03.06.2024|X41|41001294|EMTA WIFI 3.0 TC7337NET 16X4            |UN |   330 |
|4379628|N190|UDEI|03.06.2024|X41|41001530|DECODER 4K UHD IP S4KW3 LINUX VAS COM   |UN |    50 |
|4379628|N190|N190|03.06.2024|X41|41001590|TERMINAL GPON ONT WIFI6 F6600P          |UN |    80 |
|4379629|N190|N190|03.06.2024|X43|22025049|VASELINA SOLIDA POTE 410G               |UN |     9 |
|4379629|N190|USAD|03.06.2024|X43|22025250|MARCADOR APTO NUM 1 TIPO HO85 AMARELO   |UN |   100 |
|4379629|N190|N190|03.06.2024|X43|22025321|ANEL VEDACAO PLASTICA P PORTA F         |UN |   100 |
|4379629|N190|USAD|03.06.2024|X43|22025348|FIXA FIO CABO LOW FRICT CHATO           |UN |   200 |
|4379629|N190|USAD|03.06.2024|X43|22026249|CTRL REMOTO DIG. DCR7121 PACE           |UN |    60 |
|4379629|N190|N190|03.06.2024|X43|22026502|PITAO GANCHO COM BUCHA S8               |UN |   100 |
|4379629|N190|N190|03.06.2024|X43|22056332|FITA ISOLANTE AUTOFUSAO 3M SCOTCH23 10MT|UN |     6 |
|4379629|N190|N190|03.06.2024|X43|22056334|FECHO DE ACO INOX DENTADO 1/2           |UN |   200 |
|4379629|N190|N190|03.06.2024|X43|22056335|FECHO DE ACO INOX DENTADO 3/4           |UN |   200 |
|4379629|N190|N190|03.06.2024|X43|22056342|MARCADOR CASA PTO NR 0                  |UN |   100 |
|4379629|N190|N190|03.06.2024|X43|22056343|MARCADOR CASA PTO NR 1                  |UN |   200 |
|4379629|N190|N190|03.06.2024|X43|22056344|MARCADOR CASA PTO NR 2                  |UN |   100 |
|4379629|N190|N190|03.06.2024|X43|22056360|FITA ACO INOX 3/4 POLEGADA ROLO 25MT    |ROL|    10 |
|4379629|N190|N190|03.06.2024|X43|22057658|SUPORTE ROLDANA FO DROP SDA-1           |UN |   360 |
|4379629|N190|N190|03.06.2024|X43|22057659|ESTICADOR CUNHA PARA DROP OPTICO SRDO   |UN | 2.180 |
|4379629|N190|USAD|03.06.2024|X43|22057705|FONTE CX DIG HD DCR74X1 LITEON          |UN |   200 |
|4379629|N190|USAD|03.06.2024|X43|22058239|FONTE DE ENERGIA PA11807UD2             |UN |    60 |
|4379629|N190|N190|03.06.2024|X43|22058258|PILHA MANGANES AAA 1,5 V                |UN |   120 |
|4379629|N190|N190|03.06.2024|X43|22062002|CABO DROP PRECON HW DOMEX 80M           |UN |    16 |
|4379629|N190|N190|03.06.2024|X43|22062003|CABO DROP PRECON HW DOMEX 100M          |UN |    12 |
|4379629|N190|N190|03.06.2024|X43|22062004|CABO DROP PRECON HW DOMEX 120M          |UN |    16 |
|4379629|N190|N190|03.06.2024|X43|22062005|CABO DROP PRECON HW DOMEX 150M          |UN |     8 |
|4379629|N190|N190|03.06.2024|X43|22065513|CONECTOR FO CAMPO CPO SC APC FRKW       |UN | 1.000 |
|4379629|N190|N190|03.06.2024|X43|22065725|MARCADOR CASA PRETO NR 7                |UN |   100 |
|4379630|N190|USAD|03.06.2024|X41|41000805|SMART CARD AVULSO SIM CARD              |UN |    60 |
|4379630|N190|USAD|03.06.2024|X41|41001048|DECODER HD HHDC2                        |UN |    60 |
|4379630|N190|USAD|03.06.2024|X41|41001294|EMTA WIFI 3.0 TC7337NET 16X4            |UN |   200 |
|4379630|N190|UDEI|03.06.2024|X41|41001530|DECODER 4K UHD IP S4KW3 LINUX VAS COM   |UN |    60 |
|4379630|N190|N190|03.06.2024|X41|41001573|DECODER CARDLESS 4K UHD S4KCW4S CABO IP |UN |    30 |
|4379632|N190|USAD|03.06.2024|X41|41001294|EMTA WIFI 3.0 TC7337NET 16X4            |UN |   700 |
|4379635|N190|USAD|03.06.2024|X43|22026249|CTRL REMOTO DIG. DCR7121 PACE           |UN |   200 |
|4379635|N190|USAD|03.06.2024|X43|22057705|FONTE CX DIG HD DCR74X1 LITEON          |UN |   110 |
|4379635|N190|USAD|03.06.2024|X43|22058239|FONTE DE ENERGIA PA11807UD2             |UN |   200 |
|4379635|N190|N190|03.06.2024|X43|22058258|PILHA MANGANES AAA 1,5 V                |UN |   400 |
|4379636|N190|USAD|03.06.2024|X41|41000805|SMART CARD AVULSO SIM CARD              |UN |   200 |
|4379636|N190|USAD|03.06.2024|X41|41001048|DECODER HD HHDC2                        |UN |   200 |
|4379636|N190|USAD|03.06.2024|X41|41001294|EMTA WIFI 3.0 TC7337NET 16X4            |UN |   110 |
|4379650|N190|N190|03.06.2024|X43|22025072|FITA ISOLANTE 3M 33+                    |ROL|     7 |
|4379650|N190|N190|03.06.2024|X43|22026189|CONEC_RI COMPRESSAO F-6                 |UN | 1.300 |
|4379650|N190|N190|03.06.2024|X43|22026219|CABO COAXIAL RG6 TRISH SEM MENSAG BRANCO|M  | 2.900 |
|4379650|N190|N190|03.06.2024|X43|22026223|CABO COAXIAL RG6 TRISH COM MENSAG PRETO |M  | 2.440 |
|4379650|N190|USAD|03.06.2024|X43|22026249|CTRL REMOTO DIG. DCR7121 PACE           |UN |   110 |
|4379650|N190|N190|03.06.2024|X43|22026544|SUPORTE GALVANIZADO U SPAN CLAMP        |UN |    50 |
|4379650|N190|N190|03.06.2024|X43|22026772|DIV_RI 2S 1GHZ H SOLDADO                |UN |    75 |
|4379650|N190|N190|03.06.2024|X43|22026809|DC_RI 1S 06DB 1GHZ H SOLDADO            |UN |    50 |
|4379650|N190|USAD|03.06.2024|X43|22057705|FONTE CX DIG HD DCR74X1 LITEON          |UN |   120 |
|4379650|N190|USAD|03.06.2024|X43|22058239|FONTE DE ENERGIA PA11807UD2             |UN |   110 |
|4379650|N190|N190|03.06.2024|X43|22058258|PILHA MANGANES AAA 1,5 V                |UN |   220 |
|4379650|N190|USAD|03.06.2024|X43|22062579|FONTE ALIM 12V 3.5A MSGH3500WR120042A0BR|UN |    60 |
|4379650|N190|N190|03.06.2024|X43|22065719|MARCADOR CASA PRETO NR 1                |UN |   100 |
|4379651|N190|USAD|03.06.2024|X41|41000805|SMART CARD AVULSO SIM CARD              |UN |   110 |
|4379651|N190|USAD|03.06.2024|X41|41001048|DECODER HD HHDC2                        |UN |   110 |
|4379651|N190|USAD|03.06.2024|X41|41001294|EMTA WIFI 3.0 TC7337NET 16X4            |UN |   120 |
|4379651|N190|USAD|03.06.2024|X41|41001552|TERMINAL DOCSIS 3.1 EMTA WIFI6 F@ST3896 |UN |    60 |
|4379651|N190|N190|03.06.2024|X41|41001590|TERMINAL GPON ONT WIFI6 F6600P          |UN |    80 |
|4379654|N190|N190|03.06.2024|X43|22025349|FIXA FIO CABO DROP FO CHATO             |UN |   100 |
|4379654|N190|N190|03.06.2024|X43|22026544|SUPORTE GALVANIZADO U SPAN CLAMP        |UN |    50 |
|4379654|N190|N190|03.06.2024|X43|22026772|DIV_RI 2S 1GHZ H SOLDADO                |UN |   100 |
|4379654|N190|N190|03.06.2024|X43|22026795|DIV_RI 3S 1GHZ H SOLD BAL 777           |UN |    25 |
|4379654|N190|N190|03.06.2024|X43|22026809|DC_RI 1S 06DB 1GHZ H SOLDADO            |UN |    50 |
|4379654|N190|N190|03.06.2024|X43|22056360|FITA ACO INOX 3/4 POLEGADA ROLO 25MT    |ROL|    10 |
|4379654|N190|N190|03.06.2024|X43|22057659|ESTICADOR CUNHA PARA DROP OPTICO SRDO   |UN |    90 |
|4379654|N190|USAD|03.06.2024|X43|22057705|FONTE CX DIG HD DCR74X1 LITEON          |UN |    90 |
|4379654|N190|N190|03.06.2024|X43|22060738|FIXADOR FIO BR RG6 CIRCUL 7MM           |UN |   600 |
|4379654|N190|N190|03.06.2024|X43|22061736|CABO DROP 1FO LOW F FIG8 LOW CINZA      |M  | 1.500 |
|4379654|N190|N190|03.06.2024|X43|22061811|CONECTOR UTP RJ45 M CAT 5 24AWG         |UN |    50 |
|4379654|N190|N190|03.06.2024|X43|22065513|CONECTOR FO CAMPO CPO SC APC FRKW       |UN |   100 |
|4379656|N190|USAD|03.06.2024|X43|22026249|CTRL REMOTO DIG. DCR7121 PACE           |UN |    20 |
|4379656|N190|N190|03.06.2024|X43|22056360|FITA ACO INOX 3/4 POLEGADA ROLO 25MT    |ROL|    10 |
|4379656|N190|USAD|03.06.2024|X43|22057705|FONTE CX DIG HD DCR74X1 LITEON          |UN |    70 |
|4379656|N190|USAD|03.06.2024|X43|22058239|FONTE DE ENERGIA PA11807UD2             |UN |    20 |
|4379656|N190|N190|03.06.2024|X43|22058258|PILHA MANGANES AAA 1,5 V                |UN |    40 |
|4379660|N190|N190|03.06.2024|X43|22025072|FITA ISOLANTE 3M 33+                    |ROL|    16 |
|4379660|N190|USAD|03.06.2024|X43|22025242|ABRACADEIRA NYLON T18R 10CM PRETA       |UN |   100 |
|4379660|N190|USAD|03.06.2024|X43|22026249|CTRL REMOTO DIG. DCR7121 PACE           |UN |    20 |
|4379660|N190|N190|03.06.2024|X43|22056332|FITA ISOLANTE AUTOFUSAO 3M SCOTCH23 10MT|UN |    20 |
|4379660|N190|N190|03.06.2024|X43|22056344|MARCADOR CASA PTO NR 2                  |UN |   100 |
|4379660|N190|N190|03.06.2024|X43|22056369|CABO UTP CAT5E ETHERNET NET             |M  |   600 |
|4379660|N190|USAD|03.06.2024|X43|22057705|FONTE CX DIG HD DCR74X1 LITEON          |UN |   230 |
|4379660|N190|USAD|03.06.2024|X43|22058239|FONTE DE ENERGIA PA11807UD2             |UN |    20 |
|4379660|N190|N190|03.06.2024|X43|22058258|PILHA MANGANES AAA 1,5 V                |UN |    40 |
