07.06.2024                   Saída dinâmica de lista                           1
--------------------------------------------------------------------------------
---------------------------------------------------------
|Reserva|Cen.|Dep.|Dt.lçto.  |Hora    |Referência   |TMv|
|4379582|N190|    |07.06.2024|09:30:57|000091148-806|X43|
|4379582|N190|USAD|07.06.2024|09:30:57|000091148-806|X43|
|4379582|N190|    |07.06.2024|09:30:57|000091148-806|X43|
|4379582|N190|USAD|07.06.2024|09:30:57|000091148-806|X43|
|4379582|N190|N190|07.06.2024|09:30:57|000091148-806|X43|
|4379582|N190|    |07.06.2024|09:30:57|000091148-806|X43|
|4379582|N190|    |07.06.2024|09:30:57|000091148-806|X43|
|4379582|N190|USAD|07.06.2024|09:30:57|000091148-806|X43|
|4379667|N190|USAD|07.06.2024|09:41:03|000091152-806|X43|
|4379667|N190|    |07.06.2024|09:41:03|000091152-806|X43|
|4379667|N190|USAD|07.06.2024|09:41:03|000091152-806|X43|
|4379667|N190|    |07.06.2024|09:41:03|000091152-806|X43|
|4379667|N190|USAD|07.06.2024|09:41:03|000091152-806|X43|
|4379667|N190|    |07.06.2024|09:41:03|000091152-806|X43|
|4379667|N190|N190|07.06.2024|09:41:03|000091152-806|X43|
|4379667|N190|    |07.06.2024|09:41:03|000091152-806|X43|
|4379667|N190|N190|07.06.2024|09:41:03|000091152-806|X43|
|4379667|N190|    |07.06.2024|09:41:03|000091152-806|X43|
|4383196|N190|N190|07.06.2024|09:41:07|000091153-806|X41|
|4383196|N190|    |07.06.2024|09:41:07|000091153-806|X41|
|4379596|N190|    |07.06.2024|09:40:58|000091154-806|X43|
|4379596|N190|USAD|07.06.2024|09:40:58|000091154-806|X43|
|4379596|N190|    |07.06.2024|09:40:58|000091154-806|X43|
|4379596|N190|N190|07.06.2024|09:40:58|000091154-806|X43|
|4379596|N190|    |07.06.2024|09:40:58|000091154-806|X43|
|4379596|N190|N190|07.06.2024|09:40:58|000091154-806|X43|
|4379596|N190|N190|07.06.2024|09:40:58|000091154-806|X43|
|4379596|N190|    |07.06.2024|09:40:58|000091154-806|X43|
|4379596|N190|    |07.06.2024|09:40:58|000091154-806|X43|
|4379596|N190|USAD|07.06.2024|09:40:58|000091154-806|X43|
|4379596|N190|    |07.06.2024|09:40:58|000091154-806|X43|
|4379596|N190|N190|07.06.2024|09:40:58|000091154-806|X43|
|4379596|N190|    |07.06.2024|09:40:58|000091154-806|X43|
|4379596|N190|N190|07.06.2024|09:40:58|000091154-806|X43|
|4379596|N190|    |07.06.2024|09:40:58|000091154-806|X43|
|4379596|N190|USAD|07.06.2024|09:40:58|000091154-806|X43|
|4379596|N190|USAD|07.06.2024|09:40:58|000091154-806|X43|
|4379596|N190|    |07.06.2024|09:40:58|000091154-806|X43|
|4379596|N190|N190|07.06.2024|09:40:58|000091154-806|X43|
|4379596|N190|    |07.06.2024|09:40:58|000091154-806|X43|
|4379596|N190|USAD|07.06.2024|09:40:58|000091154-806|X43|
|4379596|N190|    |07.06.2024|09:40:58|000091154-806|X43|
|4379596|N190|N190|07.06.2024|09:40:58|000091154-806|X43|
|4379596|N190|    |07.06.2024|09:40:58|000091154-806|X43|
|4379638|N190|N190|07.06.2024|10:00:52|000091156-806|X41|
|4379638|N190|    |07.06.2024|10:00:52|000091156-806|X41|
---------------------------------------------------------
